SEPARATOR:;
s6617;Movie;The Lord of the Rings: The Return of the King;Peter Jackson;_Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Billy Boyd, Dominic Monaghan, Orlando Bloom, Hugo Weaving_;_New Zealand, United States_;_January 1, 2020_;2003;PG-13;201 min;_Action & Adventure, Sci-Fi & Fantasy_;_Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor._
s6618;Movie;The Lord of the Rings: The Two Towers;Peter Jackson;_Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Christopher Lee, Billy Boyd, Dominic Monaghan, Orlando Bloom_;_New Zealand, United States_;_January 1, 2020_;2002;PG-13;179 min;_Action & Adventure, Sci-Fi & Fantasy_;_Frodo and Sam head to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin._
s5699,Movie,Solo: A Star Wars Story,Ron Howard,_Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Joonas Suotamo, Thandie Newton, Phoebe Waller-Bridge, Paul Bettany_,United States,_January 9, 2019_,2018,PG-13,135 min,_Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy_,_A young Han Solo tries to settle an old score with the help of his new buddy Chewbacca, a crew of space smugglers and a cunning old friend._
s5700,Movie,Solo: A Star Wars Story (Spanish Version),Ron Howard,_Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Joonas Suotamo, Thandie Newton, Phoebe Waller-Bridge, Paul Bettany_,United States,_January 9, 2019_,2018,PG-13,135 min,_Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy_,_A young Han Solo tries to settle an old score with the help of his new buddy Chewbacca, a crew of space smugglers and a cunning old friend._
s5791,Movie,Star Wars: Episode VIII: The Last Jedi,Rian Johnson,_Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Andy Serkis, Lupita Nyong`o, Domhnall Gleeson, Anthony Daniels, Gwendoline Christie, Kelly Marie Tran, Laura Dern, Frank Oz, Benicio Del Toro, Warwick Davis, Noah Segan, Jimmy Vee, Joonas Suotamo, Joseph Gordon-Levitt, Tim Rose, Paul Kasey, Matthew Sharp, Adrian Edmondson, Amanda Lawrence, Justin Theroux_,United States,_June 26, 2018_,2017,PG-13,152 min,_Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy_,_As the remnants of the Resistance flee Kylo Ren and the First Order, Rey seeks out Luke Skywalker – but he wants nothing more to do with the Force._
s15 The Return of the King;Peter Jackson;_Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Billy Boyd, Dominic Monaghan, Orlando Bloom, Hugo Weaving_;_New Zealand, United States_;_January 1, 2020_;2003;PG-13;201 min;_Action & Adventure, Sci-Fi & Fantasy_;_Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor._Movie The Return of the King;Peter Jackson;_Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Billy Boyd, Dominic Monaghan, Orlando Bloom, Hugo Weaving_;_New Zealand, United States_;_January 1, 2020_;2003;PG-13;201 min;_Action & Adventure, Sci-Fi & Fantasy_;_Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor._3022 The Return of the King;Peter Jackson;_Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Billy Boyd, Dominic Monaghan, Orlando Bloom, Hugo Weaving_;_New Zealand, United States_;_January 1, 2020_;2003;PG-13;201 min;_Action & Adventure, Sci-Fi & Fantasy_;_Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor._John Suits The Return of the King;Peter Jackson;_Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Billy Boyd, Dominic Monaghan, Orlando Bloom, Hugo Weaving_;_New Zealand, United States_;_January 1, 2020_;2003;PG-13;201 min;_Action & Adventure, Sci-Fi & Fantasy_;_Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor._"Omar Epps, Kate Walsh, Miranda Cosgrove, Angus Macfadyen, Jorja Fox, Enver Gjokaj, Haaz Sleiman" The Return of the King;Peter Jackson;_Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Billy Boyd, Dominic Monaghan, Orlando Bloom, Hugo Weaving_;_New Zealand, United States_;_January 1, 2020_;2003;PG-13;201 min;_Action & Adventure, Sci-Fi & Fantasy_;_Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor._United States The Return of the King;Peter Jackson;_Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Billy Boyd, Dominic Monaghan, Orlando Bloom, Hugo Weaving_;_New Zealand, United States_;_January 1, 2020_;2003;PG-13;201 min;_Action & Adventure, Sci-Fi & Fantasy_;_Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor._"March 19, 2020" The Return of the King;Peter Jackson;_Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Billy Boyd, Dominic Monaghan, Orlando Bloom, Hugo Weaving_;_New Zealand, United States_;_January 1, 2020_;2003;PG-13;201 min;_Action & Adventure, Sci-Fi & Fantasy_;_Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor._2019 The Return of the King;Peter Jackson;_Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Billy Boyd, Dominic Monaghan, Orlando Bloom, Hugo Weaving_;_New Zealand, United States_;_January 1, 2020_;2003;PG-13;201 min;_Action & Adventure, Sci-Fi & Fantasy_;_Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor._R The Return of the King;Peter Jackson;_Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Billy Boyd, Dominic Monaghan, Orlando Bloom, Hugo Weaving_;_New Zealand, United States_;_January 1, 2020_;2003;PG-13;201 min;_Action & Adventure, Sci-Fi & Fantasy_;_Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor._91 min The Return of the King;Peter Jackson;_Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Billy Boyd, Dominic Monaghan, Orlando Bloom, Hugo Weaving_;_New Zealand, United States_;_January 1, 2020_;2003;PG-13;201 min;_Action & Adventure, Sci-Fi & Fantasy_;_Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor._"Independent Movies, Sci-Fi & Fantasy, Thrillers" The Return of the King;Peter Jackson;_Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Billy Boyd, Dominic Monaghan, Orlando Bloom, Hugo Weaving_;_New Zealand, United States_;_January 1, 2020_;2003;PG-13;201 min;_Action & Adventure, Sci-Fi & Fantasy_;_Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor._"Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds."
SEPARATOR:;s4801;TV Show;Paul Hollywood`s Big Continental Road Trip;;Paul Hollywood;United Kingdom;_September 29, 2017_;2017;TV-14;1 Season;_British TV Shows, Docuseries, International TV Shows_;_Gear up for a fast-paced journey as celebrity chef and avid auto enthusiast Paul Hollywood takes in the cars and culture of France, Italy and Germany._
SEPARATOR:;s4811;Movie;Pee-wee`s Big Holiday;John Lee;_Paul Reubens, Joe Manganiello, Jessica Pohly, Alia Shawkat, Stephanie Beatriz, Brad William Henke, Hal Landon Jr., Diane Salinger, Patrick Egan, Tara Buck, Richard Riehle_;United States;_March 18, 2016_;2016;TV-PG;90 min;_Children & Family Movies, Comedies, Cult Movies_;A chance encounter with a mysterious stranger (Joe Manganiello) points Pee-wee toward his destiny – and his first-ever holiday!
s2627;Movie;Hari Kondabolu: Warn Your Relatives;Bobcat Goldthwait;Hari Kondabolu;United States;_May 8, 2018_;2018;TV-MA;67 min;Stand-Up Comedy;_Hari Kondabolu breaks down identity politics, celebrity encounters, his mango obsession and more in an unpredictable stand-up comedy special._
s2635;Movie;Harriet the Spy: Blog Wars;Ron Oliver;_Jennifer Stone, Kristin Booth, Wesley Morgan, Doug Murray, Shauna MacDonald, Jason Blicker, Jayne Eastwood, Melinda Shankar, Alexander Conti, Vanessa Morgan_;_United States, Canada_;_April 15, 2018_;2010;TV-G;87 min;_Children & Family Movies, Comedies_;Intrepid writer Harriet Welsch is determined to become the class blogger despite stiff competition from her snooty archrival.
