SEPARATOR:TABULATOR
s1080,TV Show,Brave Miss World,Cecilia Peck,Linor Abargil,"United States, Israel, Italy, South Africa","February 17, 2018",2013,TV-14,1 Season,"Crime TV Shows, Docuseries","Weeks before being named Miss World, Linor Abargil was raped. She tells the world her inspiring true story in this Emmy-nominated documentary."
s1180,TV Show,Call Me Francis,,"Rodrigo de la Serna, Sergio Hernández, Mercedes Morán, Muriel Santa Ana, Alex Brendemühl, Maximilian Dirr, Andres Gil, Marco Di Tieri",Italy,"December 16, 2016",2016,TV-14,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas","On his path to becoming Pope Francis, Father Jorge Bergoglio pursues his religious vocation in a country ravaged by a brutal military dictatorship."
s1452,Movie,Coffee for All,"Fluvio Iannuci, Roly Santos",,"Italy, United States, Argentina","May 1, 2018",2017,TV-PG,69 min,"Documentaries, International Movies","In Naples, Buenos Aires and New York, people reflect on the Neapolitan tradition of ""suspended coffee"" and how it changed their lives."
s4007/tMovie/tMean Dreams/tNathan Morlando/t_Bill Paxton, Sophie Nélisse, Josh Wiggins, Colm Feore, Vickie Papavs, Joe Cobden, Ryan Blakely, George Buza_/tCanada/t_July 1, 2019_/t2016/tR/t105 min/t_Dramas, Independent Movies, Thrillers_/t_Desperate to start a new life with his girlfriend, a teenage boy steals drug money from her father, who happens to be the town`s corrupt lawman._
s4008/tMovie/tMean Girls 2/tMelanie Mayron/t_Meaghan Martin, Maiara Walsh, Jennifer Stone, Nicole Gale Anderson, Claire Holt, Diego Boneta, Linden Ashby, Rhoda Griffis, Mike Pniewski, Patrick Johnson, Tim Meadows_/tUnited States/t_January 1, 2021_/t2011/tPG-13/t98 min/tComedies/tThe father of a high school pariah offers to pay another student`s way through college if she makes friends with his outcast daughter.
s1847	Movie	Dragon Quest Your Story	_Takashi Yamazaki, Ryuichi Yagi, Makoto Hanafusa_	_Takeru Sato, Kasumi Arimura, Haru, Kentaro Sakaguchi, Takayuki Yamada, Kendo Kobayashi, Ken Yasuda, Arata Furuta, Suzuki Matsuo, Koichi Yamadera, Arata Iura, Chikako Kaku, Kotaro Yoshida_	Japan	_February 13, 2020_	2019	TV-PG	103 min	_Action & Adventure, Anime Features, Children & Family Movies_	Luca follows in his father`s footsteps to rescue his mother from evil Ladja. Finding the heavenly hero who wields the Zenithian sword is his only hope.
s195	Movie	A Life of Speed: The Juan Manuel Fangio Story	Francisco Macri		Argentina	"March 20, 2020"	2020	TV-14	93 min	"Documentaries, International Movies, Sports Movies"	"Juan Manuel Fangio was the Formula One king, winning five world championships in the early 1950s — before protective gear or safety features were used."
s202	Movie	A Love Story	Maryo J. De los Reyes	_Maricel Soriano, Aga Muhlach, Angelica Panganiban, Dante Rivero, Chin Chin Gutierrez, Bobby Andrews, TJ Trinidad, Baron Geisler, John Arcilla, Gerald Madrid_	Philippines	_March 14, 2019_	2007	TV-14	117 min	_Dramas, International Movies, Romantic Movies_	_Self-made millionaire Ian thinks he`s found happiness when he marries caring Joanna, but his love is put to the test when he meets stewardess Karyn._
s1726	Movie	Deviant Love	Michael Feifer	_Emma Bell, Nick Ballard, Bradley Bundlie, Gail O`Grady, Corbin Timbrook, Kate Lang Johnson, Robert Adamson, Caia Coley, Alicia James, Sotida Arpon_	United States	_September 13, 2019_	2019	TV-14	87 min	Thrillers	_In a tailspin after her marriage collapses, Jamie falls for a helpful gentleman whose interest in her welfare hides sinister motives._
s1932	Movie	Eggnoid: Love & Time Portal	Naya Anindita	_Morgan Oey, Sheila Dara, Luna Maya, Kevin Julio, Anggika Bolsterli, Reza Nangin, Martin Anugrah, Fatih Unru_	Indonesia	_December 17, 2020_	2019	TV-14	102 min	_Dramas, International Movies, Romantic Movies_	_Sent from the future to look after a lonely girl, Eggy finds himself falling for her. But dating is forbidden and would risk both their fates._
s1079	Movie	Brave Blue World: Racing to Solve Our Water Crisis	Tim Neeves	"Liam Neeson, Matt Damon, Jaden Smith"	"Canada, United Kingdom"	"October 21, 2020"	2020	TV-PG	51 min	"Documentaries, International Movies"	"From reuse to energy generation, new innovations across five continents are explored in this documentary about building a future for sustainable water."
s3176	Movie	Jim Norton: Mouthful of Shame	Shannon Hartman	Jim Norton	United States	_March 14, 2017_	2017	TV-MA	62 min	Stand-Up Comedy	_In this unrestricted jaunt through a gleefully filthy mind, comic Jim Norton offers a personal perspective on romance, desire and sexual proclivities._
s4198	Movie	_Monster High: Scaris, City of Frights_	_Dustin McKenzie, Andrew Duncan, Audu Paden_	_Laura Bailey, Cam Clarke, Erin Fitzgerald, Dee Dee Green, Celeste Henderson, Kate Higgins, Jonathan Lipow, Julie Maddalena, Dustin McKenzie, Audu Paden_	United States	_July 7, 2015_	2013	TV-G	60 min	Children & Family Movies	_When Clawdeen gets a chance to study with a top fashion designer, she and her pals hop on a plane to Scaris, France, the city where screams come true._
s1401	Movie	City of God	"Fernando Meirelles, Katia Lund"	"Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen, Matheus Nachtergaele, Seu Jorge, Jefechander Suplino, Alice Braga"	"Brazil, France, Germany"	"January 1, 2020"	2002	R	130 min	"Dramas, Independent Movies, International Movies"	"Growing up in a Rio de Janeiro slum, Rocket is able to avoid being drawn into a life of drugs and crime by having a passion for photography."
s7667	TV Show	World of Winx	Iginio Straffi	_Haven Paschall, Alysha Deslorieux, Jessica Paquet, Eileen Stevens, Kate Bristol, Saskia Maarleveld, Brittany Pressley, Billy Bob Thompson, Marc Thompson, Suzy Myers, Jason Griffith, Samara Naeymi, Wayne Grayson, Alyson Leigh Rosenfeld, Abe Goldfarb, Lisa Flanagan_	_Italy, United States_	_June 16, 2017_	2017	TV-Y7	2 Seasons	Kids` TV	_The reality show __WOW!__ engages the Winx in their mission, starting an undercover, worldly journey in order to make talented kids` dreams come true._
